GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
949,-0.2,0,100,313,13,438,4,0
2437,4.1,3,20,12,0,3,182,428
948,-7.5,0,119,280,92,394,14,28
1739,3.5,0,17,20,0,8,30,814
1727,0.1,0,15,33,2,31,14,353
1727,0.1,0,82,197,0,38,52,320
1724,0.1,0,74,263,1,120,51,192
1281,-3.7,0,91,325,41,391,8,33
1228,-6.5,0,109,224,156,397,2,19
1278,-3.8,0,107,195,107,372,8,27
890,-2.9,25,4,0,8,616,8,17
1958,3.1,0,101,31,0,39,81,430
3424,7,0,29,11,0,144,61,296
3114,6.1,0,37,6,0,148,117,299
1357,-0.1,5,0,3,5,346,29,84
1977,1.5,30,15,0,23,181,60,230
2792,1,0,0,0,48,32,32,65
1334,-5.6,0,130,234,0,197,7,18
1830,-2.1,1,56,176,2,231,48,378
608,-12.8,0,4,343,9,602,0,9
490,-12.2,0,24,333,47,469,0,29
301,-7,0,15,367,17,268,0,76
414,-13.9,0,10,719,7,137,0,23
1031,-8,0,70,424,21,339,0,38
1109,-9.2,0,60,200,83,517,0,101
783,-12.3,0,20,242,44,375,0,40
1233,-4.2,0,113,175,64,402,5,178
593,-12.5,0,7,325,12,601,0,6
1164,-7.5,0,74,220,106,323,0,30
1160,-8.5,0,139,381,73,356,2,20
1188,-7.6,0,46,253,103,467,0,16
1203,-7,0,54,292,120,387,1,50
1181,-6.8,0,41,113,291,364,0,61
1278,-5.4,0,27,296,32,435,3,25
1141,-6,0,22,107,161,555,0,43
1270,-4.5,0,39,73,65,539,0,5
1280,-8.6,0,64,274,24,568,0,21
1156,-3.6,0,48,167,96,537,8,53
4053,7.9,17,66,0,0,50,28,326
3223,2.6,0,1,0,0,17,12,54
917,-2.2,0,39,283,33,508,0,58
1422,-4.4,12,49,50,125,291,11,108
1696,-4.6,99,173,62,10,158,33,115
1854,-3.2,13,47,73,8,306,23,325
762,-0.4,0,47,103,0,206,12,171
